"","language_id","term_id","term","term_abbreviation","language_name","language_location","continent","field_worker_1","field_worker_2","field_worker_3","Unnamed..6","Unnamed..7"
"67",3,31,"mepusiyaw","MP","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"68",3,32,"mealikabuk","ML","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"69",3,33,"langet","LT","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"70",3,34,"guhém","GU","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"71",3,35,"mediklém","MK","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"72",3,36,"mekélép","ME","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"73",3,37,"kuném","KN","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"74",3,38,"hinap","HN","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"75",3,39,"kayo","KY","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"76",3,40,"luta","LA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"77",3,41,"gatas","AS","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"78",3,42,"melabut","UT","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"79",3,43,"orendz","DZ","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"80",3,44,"kulay","KL","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"81",3,45,"agél","AZ","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"82",3,46,"ube","BE","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"83",3,47,"lumot","OT","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"84",3,48,"kamoti","TI","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"85",3,49,"bubug","BB","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"86",3,50,"bunay","BN","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"87",3,51,"kokua","UA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"88",3,52,"duyaw","DY","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"89",3,53,"sébaw","SW","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"90",3,54,"patig","IG","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
